time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-10-10T02:33:12.200Z,37.8853,-122.2278,7.1,1.5,Md,,46.8,0,0.15,nc,nc72084446,2013-10-21T22:28:06.192Z,"4km ENE of Berkeley, California",earthquake
2013-10-10T00:06:38.200Z,37.9317,-122.2993,9.2,0.9,Md,,147.6,0.02694946,0.07,nc,nc72084401,2013-10-18T01:25:02.687Z,"1km SE of East Richmond Heights, California",earthquake
2013-10-09T20:37:09.500Z,37.888,-122.2212,6.8,1.1,Md,,79.2,0,0.03,nc,nc72084316,2013-10-09T21:28:04.927Z,"3km WNW of Orinda, California",earthquake
2013-10-09T20:36:34.000Z,37.8877,-122.221,6.9,1.5,Md,,57.6,0,0.06,nc,nc72084311,2013-10-09T23:42:05.186Z,"3km WNW of Orinda, California",earthquake
2013-10-09T09:41:15.100Z,37.8937,-122.2217,5.2,0.8,Md,,122.4,0.00898315,0.04,nc,nc72084046,2013-10-09T11:49:05.372Z,"4km WNW of Orinda, California",earthquake
2013-10-07T22:53:02.300Z,37.894,-122.2205,7.2,0.7,Md,,64.8,0.00898315,0.07,nc,nc72083106,2013-10-19T01:10:06.534Z,"4km WNW of Orinda, California",earthquake
2013-10-07T15:41:49.800Z,37.9012,-122.2302,8,1.1,Md,,68.4,0.01796631,0.08,nc,nc72082871,2013-10-19T01:37:06.003Z,"4km NE of Berkeley, California",earthquake
2013-10-07T14:26:34.200Z,37.8897,-122.2278,7.6,0.7,Md,,64.8,0.00898315,0.12,nc,nc72082856,2013-10-19T00:19:20.578Z,"4km ENE of Berkeley, California",earthquake
2013-10-07T06:21:25.600Z,37.889,-122.2222,6.9,0.7,Md,,57.6,0.00898315,0.09,nc,nc72082646,2013-10-18T23:51:08.626Z,"3km WNW of Orinda, California",earthquake
2013-10-07T04:29:47.600Z,37.8897,-122.2242,7.2,1.7,Md,,43.2,0.00898315,0.13,nc,nc72082616,2014-03-21T03:45:19.020Z,"4km ENE of Berkeley, California",earthquake
2013-10-07T04:26:08.200Z,37.8837,-122.2327,7,3,Mw,,14.4,0.00898315,0.14,nc,nc72082611,2014-03-21T03:46:36.160Z,"3km ENE of Berkeley, California",earthquake
2013-09-30T13:53:35.000Z,37.8858,-122.1987,8.8,1.9,Md,,39.6,0.01796631,0.08,nc,nc72079041,2014-03-21T04:47:47.583Z,"1km WNW of Orinda, California",earthquake
2013-09-29T15:22:04.200Z,37.8608,-122.212,7.5,2.3,Md,,18,0.02694946,0.15,nc,nc72078556,2014-03-21T04:11:49.617Z,"3km WSW of Orinda, California",earthquake
2013-09-16T23:40:24.700Z,37.9282,-122.1153,9,1.7,Md,,57.6,0.02694946,0.09,nc,nc72071806,2013-11-13T17:39:17.056Z,"4km N of Lafayette, California",earthquake
2013-09-10T08:07:50.500Z,37.872,-122.2568,9.6,1.5,Md,,32.4,0,0.18,nc,nc72067201,2013-09-21T06:31:05.793Z,"1km E of Berkeley, California",earthquake
2013-09-06T20:58:56.800Z,37.9368,-122.325,2.9,1.3,Md,,72,0.00898315,0.15,nc,nc72064986,2013-09-18T06:55:09.536Z,"1km SW of East Richmond Heights, California",earthquake
2013-09-06T16:04:31.800Z,37.8573,-122.1952,7,0.9,Md,,147.6,0.03593261,0.05,nc,nc72064776,2013-09-18T22:49:11.799Z,"2km SSW of Orinda, California",earthquake
2013-08-30T06:03:18.300Z,37.8685,-122.232,7,0.7,Md,,111.6,0.00898315,0.09,nc,nc72059721,2013-08-31T02:59:08.520Z,"3km E of Berkeley, California",earthquake
2013-08-21T15:51:43.600Z,37.8502,-122.2445,6.1,0.6,Md,,234,0.02694946,0.09,nc,nc72053606,2013-08-23T23:40:08.003Z,"3km SE of Berkeley, California",earthquake
2013-08-21T02:34:55.500Z,37.8788,-122.2577,8.9,1.5,Md,,46.8,0,0.13,nc,nc72053071,2013-08-23T03:37:10.067Z,"1km ENE of Berkeley, California",earthquake
2013-08-18T05:35:21.700Z,37.8678,-122.2457,9.4,0.7,Md,,36,0,0.08,nc,nc72051571,2013-08-23T01:50:06.183Z,"2km E of Berkeley, California",earthquake
2013-08-06T21:45:06.900Z,37.8872,-122.2973,5,0.8,Md,,194.4,0.03593261,0.13,nc,nc72044321,2013-08-07T22:52:07.719Z,"0km NE of Albany, California",earthquake
2013-07-26T21:49:27.800Z,37.8872,-122.2203,7.6,1.1,Md,,68.4,0,0.1,nc,nc72034310,2013-08-03T05:53:19.212Z,"3km WNW of Orinda, California",earthquake
2013-07-05T00:18:59.100Z,37.8753,-122.2195,7.9,1,Md,,86.4,0.00898315,0.03,nc,nc72021180,2013-07-05T00:20:41.638Z,"3km W of Orinda, California",earthquake
2013-06-25T09:57:33.400Z,37.7918,-122.2208,9.1,1,Md,,165.6,0.03593261,0.03,nc,nc72015265,2013-06-25T09:59:11.154Z,"3km NNE of Alameda, California",earthquake
2013-06-25T09:52:56.900Z,37.7878,-122.2282,7.7,1.7,Md,,14.4,0.01796631,0.12,nc,nc72015260,2013-06-25T21:12:11.773Z,"2km NNE of Alameda, California",earthquake
2013-06-25T09:52:13.200Z,37.7878,-122.23,8.5,2.4,Md,,14.4,0.01796631,0.17,nc,nc72015255,2014-03-21T04:45:38.089Z,"2km NNE of Alameda, California",earthquake
